,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
0,570306133677760513,neutral,1.0,,,Virgin America,,cairdin,,0,dhepburn said,,2015-02-24 11:35:52 -0800,,Eastern Time (US & Canada)
1,570301130888122368,positive,0.3486,,0.0,Virgin America,,jnardino,,0,plus youve added commercial experience tacky,,2015-02-24 11:15:59 -0800,,Pacific Time (US & Canada)
2,570301083672813571,neutral,0.6837,,,Virgin America,,yvonnalynn,,0,didnt today must mean need take another trip,,2015-02-24 11:15:48 -0800,Lets Play,Central Time (US & Canada)
3,570301031407624196,negative,1.0,Bad Flight,0.7033,Virgin America,,jnardino,,0,really aggressive blast obnoxious entertainment guest face amp little recourse,,2015-02-24 11:15:36 -0800,,Pacific Time (US & Canada)
4,570300817074462722,negative,1.0,Can't Tell,1.0,Virgin America,,jnardino,,0,really big bad thing,,2015-02-24 11:14:45 -0800,,Pacific Time (US & Canada)
5,570300767074181121,negative,1.0,Can't Tell,0.6842,Virgin America,,jnardino,,0,seriously would pay seat didnt playing really bad thing flying va,,2015-02-24 11:14:33 -0800,,Pacific Time (US & Canada)
6,570300616901320704,positive,0.6745,,0.0,Virgin America,,cjmcginnis,,0,yes nearly every time fly vx ear worm wont go away,,2015-02-24 11:13:57 -0800,San Francisco CA,Pacific Time (US & Canada)
7,570300248553349120,neutral,0.634,,,Virgin America,,pilot,,0,really missed prime opportunity men without hat parody httpstcomwpg7grezp,,2015-02-24 11:12:29 -0800,Los Angeles,Pacific Time (US & Canada)
8,570299953286942721,positive,0.6559,,,Virgin America,,dhepburn,,0,well didntbut,,2015-02-24 11:11:19 -0800,San Diego,Pacific Time (US & Canada)
9,570295459631263746,positive,1.0,,,Virgin America,,YupitsTate,,0,amazing arrived hour early youre good,,2015-02-24 10:53:27 -0800,Los Angeles,Eastern Time (US & Canada)
10,570294189143031808,neutral,0.6769,,0.0,Virgin America,,idk_but_youtube,,0,know suicide second leading cause death among teen,,2015-02-24 10:48:24 -0800,1/1 loner squad,Eastern Time (US & Canada)
11,570289724453216256,positive,1.0,,,Virgin America,,HyperCamiLax,,0,lt3 pretty graphic much better minimal iconography,,2015-02-24 10:30:40 -0800,NYC,America/New_York
12,570289584061480960,positive,1.0,,,Virgin America,,HyperCamiLax,,0,great deal already thinking nd trip australia amp havent even gone st trip yet p,,2015-02-24 10:30:06 -0800,NYC,America/New_York
13,570287408438120448,positive,0.6451,,,Virgin America,,mollanderson,,0,virginmedia im flying fabulous seductive sky take stress away travel httptcoahlxhhkiyn,,2015-02-24 10:21:28 -0800,,Eastern Time (US & Canada)
14,570285904809598977,positive,1.0,,,Virgin America,,sjespers,,0,,,2015-02-24 10:15:29 -0800,"San Francisco, CA",Pacific Time (US & Canada)
15,570282469121007616,negative,0.6842,Late Flight,0.3684,Virgin America,,smartwatermelon,,0,sfopdx schedule still mia,,2015-02-24 10:01:50 -0800,"palo alto, ca",Pacific Time (US & Canada)
16,570277724385734656,positive,1.0,,,Virgin America,,ItzBrianHunty,,0,excited first cross country lax mco ive heard nothing great thing virgin america daystogo,,2015-02-24 09:42:59 -0800,west covina,Pacific Time (US & Canada)
